Grid,Year,Month,VariableType,Community,R2Adj,Significant,P
KL,2009,3,Spatial,Full,0.0905074796,No,NA
KL,2009,4,Spatial,Core,0.15287265,No,NA
KL,2009,4,Spatial,Non-core,0.12896694,Yes,0.003
KL,2009,4,Spatial,Full,0.129540955,Yes,0.002
KL,2009,5,Spatial,Core,-0.006060385,No,NA
KL,2009,5,Spatial,Non-core,0.057589342,Yes,0.052
KL,2009,5,Spatial,Full,0.058619094,No,NA
KL,2009,6,Spatial,Core,0.143756536,No,NA
KL,2009,6,Spatial,Non-core,-0.009076675,No,NA
KL,2009,6,Spatial,Full,-0.008431542,No,NA
KL,2009,7,Spatial,Core,-0.192486796,No,NA
KL,2009,7,Spatial,Non-core,0.1512143653,Yes,0.001
KL,2009,7,Spatial,Full,0.1493101842,Yes,0.001
KL,2009,8,Spatial,Core,-0.061593232,No,NA
KL,2009,8,Spatial,Non-core,0.087286292,Yes,0.012
KL,2009,8,Spatial,Full,0.08710271,Yes,0.017
KL,2010,2,Host factors,Core,-0.027446582,No,NA
KL,2010,2,Host factors,Non-core,0.042333457,Yes,0.008
KL,2010,2,Host factors,Full,0.041912526,Yes,0.007
KL,2010,3,Host factors,Core,0.027738689,No,NA
KL,2010,3,Host factors,Non-core,0.006846698,No,NA
KL,2010,3,Host factors,Full,0.007465852,No,NA
KL,2010,4,Host factors,Core,-0.1203355,No,NA
KL,2010,4,Host factors,Non-core,0.09336387,Yes,0.002
KL,2010,4,Host factors,Full,0.092811769,Yes,0.002
KL,2010,5,Host factors,Core,0.219637877,No,NA
KL,2010,5,Host factors,Non-core,0.095356469,Yes,0.001
KL,2010,5,Host factors,Full,0.096630978,Yes,0.002
KL,2010,6,Host factors,Core,-0.0420019251,No,NA
KL,2010,6,Host factors,Non-core,0.197856398,No,NA
KL,2010,6,Host factors,Full,0.198360162,No,NA
KL,2010,2,Spatial,Core,-0.164785906,No,NA
KL,2010,2,Spatial,Non-core,0.0587603609,Yes,0.014
KL,2010,2,Spatial,Full,0.0604775476,Yes,0.008
KL,2010,3,Spatial,Core,-0.0439579982,No,NA
KL,2010,3,Spatial,Non-core,0.1385702,Yes,0.001
KL,2010,3,Spatial,Full,0.1386953,Yes,0.001
KL,2010,4,Spatial,Core,0.28864948,No,NA
KL,2010,4,Spatial,Non-core,0.03453618,Yes,0.002
KL,2010,4,Spatial,Full,0.0354332564,Yes,0.002
KL,2010,5,Spatial,Core,0.0483289952,No,NA
KL,2010,5,Spatial,Non-core,-0.0007047408,No,NA
KL,2010,5,Spatial,Full,-0.0001903018,No,NA
KL,2010,6,Spatial,Core,0.026917779,No,NA
KL,2010,6,Spatial,Non-core,0.0686971843,Yes,0.002
KL,2010,6,Spatial,Full,0.0671941626,Yes,0.004
LL,2008,4,Host factors,Core,0.056455498,No,NA
LL,2008,4,Host factors,Non-core,0.022398017,No,NA
LL,2008,4,Host factors,Full,0.02392518,No,NA
LL,2008,5,Host factors,Core,0.82587593,Yes,0.006
LL,2008,5,Host factors,Non-core,0.141099369,No,NA
LL,2008,5,Host factors,Full,0.140044284,No,NA
LL,2008,4,Spatial,Core,-0.211847744,No,NA
LL,2008,4,Spatial,Non-core,0.132927579,Yes,0.007
LL,2008,4,Spatial,Full,0.133301455,Yes,0.009
LL,2008,5,Spatial,Core,-0.224278677,No,NA
LL,2008,5,Spatial,Non-core,0.0937459827,Yes,0.007
LL,2008,5,Spatial,Full,0.09360931,Yes,0.034
SU,2008,5,Host factors,Core,-0.17330743,No,NA
SU,2008,5,Host factors,Non-core,0.153643677,No,NA
SU,2008,5,Host factors,Full,0.155235305,No,NA
SU,2008,5,Spatial,Core,-0.065233688,No,NA
SU,2008,5,Spatial,Non-core,0.0244163548,No,NA
SU,2008,5,Spatial,Full,0.0244730896,No,NA
